electrode_name	electrode_type	session_name	loc_x	loc_y	loc_z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
FidNz	Nasion	TMS_V1	7.968	88.474	-22.388	-0.713	0.693	-0.104	-0.646	-0.592	0.483	0.273	0.411	0.870
FidT9	LPA	TMS_V1	-77.206	-0.589	0.654	0.122	-0.779	0.615	-0.348	0.547	0.761	-0.930	-0.307	-0.204
FidT10	RPA	TMS_V1	72.656	-9.098	-15.346	0.762	0.515	0.392	-0.350	-0.181	0.919	0.544	-0.838	0.043
Gnd	EEG	TMS_V1	13.593	110.253	12.654	-0.624	0.134	-0.770	-0.765	0.095	0.637	0.158	0.986	0.044
3	EEG	TMS_V1	17.343	100.661	46.737	-0.791	0.443	-0.422	-0.556	-0.231	0.798	0.256	0.866	0.429
2	EEG	TMS_V1	18.281	80.036	73.556	-0.694	0.636	-0.337	-0.686	-0.442	0.578	0.218	0.633	0.743
32	EEG	TMS_V1	18.281	60.349	89.089	-0.842	0.517	-0.154	-0.508	-0.664	0.548	0.182	0.540	0.822
24	EEG	TMS_V1	16.406	35.335	101.654	-0.919	0.393	-0.002	-0.349	-0.813	0.466	0.182	0.430	0.885
21	EEG	TMS_V1	13.082	4.099	109.654	-0.802	0.572	0.172	-0.554	-0.820	0.145	0.224	0.020	0.974
13	EEG	TMS_V1	11.718	-26.839	108.107	-0.173	0.981	0.088	-0.985	-0.172	-0.019	-0.003	-0.090	0.996
16	EEG	TMS_V1	7.968	-55.161	88.654	0.929	0.246	0.275	-0.369	0.641	0.673	-0.010	-0.727	0.687
17	EEG	TMS_V1	-0.469	-70.901	63.654	0.441	0.317	0.840	-0.897	0.133	0.421	0.021	-0.939	0.343
4	EEG	TMS_V1	-4.219	82.849	70.111	-0.945	0.019	-0.327	-0.255	-0.669	0.698	-0.206	0.743	0.637
7	EEG	TMS_V1	-8.907	64.099	85.700	-0.334	0.720	-0.608	-0.921	-0.387	0.048	-0.201	0.576	0.792
8	EEG	TMS_V1	-10.782	39.724	99.362	-0.344	0.815	-0.466	-0.921	-0.391	-0.004	-0.185	0.428	0.885
12	EEG	TMS_V1	-13.594	10.661	109.050	-0.922	0.376	-0.095	-0.380	-0.925	0.028	-0.077	0.062	0.995
12	EEG	TMS_V1	-12.657	-22.151	108.438	-0.281	0.946	0.159	-0.959	-0.269	-0.092	-0.044	-0.178	0.983
1	EEG	TMS_V1	-13.594	107.610	16.654	-0.630	-0.085	-0.772	-0.725	-0.292	0.624	-0.279	0.953	0.122
2	EEG	TMS_V1	-14.532	99.490	44.654	-0.528	0.298	-0.795	-0.811	-0.453	0.369	-0.250	0.840	0.482
3	EEG	TMS_V1	-29.532	79.099	63.381	-0.584	0.276	-0.763	-0.681	-0.679	0.275	-0.442	0.680	0.585
7	EEG	TMS_V1	-37.032	58.474	77.207	-0.847	-0.213	-0.487	-0.114	-0.822	0.558	-0.519	0.528	0.672
8	EEG	TMS_V1	-41.719	33.708	89.654	-0.849	0.126	-0.514	-0.335	-0.880	0.338	-0.409	0.459	0.789
11	EEG	TMS_V1	-44.532	5.036	99.898	-0.378	0.798	-0.470	-0.781	-0.547	-0.300	-0.497	0.254	0.830
14	EEG	TMS_V1	-42.657	-24.964	100.921	0.572	-0.813	0.114	0.652	0.534	0.538	-0.498	-0.233	0.835
15	EEG	TMS_V1	-24.844	-52.151	90.086	0.219	0.624	0.750	-0.959	0.281	0.046	-0.182	-0.729	0.660
