target_name	loc_x	loc_y	loc_z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
L_LDLPFC	-22.315	55.800	60.261	0.155	-0.734	0.661	0.939	0.318	0.133	-0.308	0.600	0.738
L_IPL	-26.476	-37.551	66.249	0.944	-0.207	0.255	-0.000	0.776	0.630	-0.329	-0.595	0.733
M1	-42.261	24.805	65.385	0.719	-0.178	0.672	0.388	0.905	-0.175	-0.577	0.386	0.720
V1_M1_1	-44.178	13.784	97.124	0.610	-0.591	0.528	0.581	0.787	0.209	-0.539	0.179	0.823
V1_M1_2	-48.035	13.878	94.487	0.569	-0.643	0.513	0.627	0.742	0.236	-0.532	0.187	0.826
V1_M1_3	-48.035	17.217	94.112	0.593	-0.630	0.501	0.626	0.752	0.205	-0.507	0.192	0.841
V1_M1_4	-43.189	23.968	94.761	0.600	-0.625	0.500	0.632	0.753	0.182	-0.490	0.207	0.847
V1_M1_5	-38.069	18.127	98.586	0.586	-0.650	0.483	0.667	0.726	0.168	-0.460	0.224	0.859
L_IPL_1	-35.006	-54.732	88.847	0.907	-0.283	0.312	-0.054	0.657	0.752	-0.418	-0.699	0.580
V1_M1_6	-38.315	50.716	105.176	0.754	-0.339	0.563	0.540	0.807	-0.238	-0.374	0.483	0.792
R_DLPFC	50.708	44.850	47.525	-0.175	0.872	-0.458	-0.537	0.305	0.787	0.825	0.384	0.414
R_OCC	21.827	-55.518	40.681	0.952	0.304	-0.038	-0.055	0.289	0.956	0.302	-0.908	0.291
V2_M1_1	-27.414	36.937	103.529	0.747	-0.301	0.593	0.437	0.894	-0.097	-0.501	0.332	0.799
V2_M1_2	-26.665	35.789	101.662	0.610	-0.539	0.581	0.645	0.764	0.031	-0.461	0.356	0.813
F_OCC	3.604	-57.210	41.459	0.784	-0.232	-0.575	0.618	0.213	0.757	-0.054	-0.949	0.310
F_RDLPFC	54.798	48.389	34.187	-0.050	0.694	-0.718	-0.393	0.647	0.653	0.918	0.315	0.240
I_DAN	32.242	-30.602	71.216	0.597	-0.446	-0.667	0.652	0.754	0.079	0.468	-0.482	0.741
I_DMN	49.315	-35.684	41.741	0.108	-0.174	-0.979	0.640	0.765	-0.066	0.761	-0.620	0.194
C_DAN	32.631	-19.314	75.635	0.894	0.111	-0.433	-0.000	0.969	0.248	0.447	-0.222	0.867
C_DMN	47.979	-33.940	50.861	0.147	-0.270	-0.952	0.709	0.699	-0.088	0.689	-0.662	0.294
ICA-DAN	35.136	-26.137	71.859	0.703	-0.329	-0.631	0.518	0.844	0.138	0.487	-0.423	0.764
ICA-DMN	50.434	-32.584	47.185	0.645	0.762	-0.063	-0.121	0.184	0.975	0.755	-0.621	0.211
V3_M1_1	-39.403	19.211	103.388	0.591	-0.613	0.524	0.592	0.771	0.234	-0.548	0.172	0.819
v3_M1_2	-42.105	20.350	106.684	0.559	-0.632	0.537	0.598	0.756	0.267	-0.574	0.172	0.801
V4_m1_1	-27.943	32.612	103.964	0.555	-0.720	0.417	0.706	0.673	0.222	-0.440	0.171	0.881
v4_m1_2	-25.753	29.637	105.371	0.565	-0.712	0.417	0.702	0.680	0.210	-0.433	0.173	0.884
v4_m1_3	-27.242	31.985	103.818	0.572	-0.703	0.422	0.706	0.684	0.183	-0.418	0.193	0.888
v4_m1_4	-28.388	29.765	103.367	0.570	-0.688	0.450	0.709	0.688	0.154	-0.416	0.231	0.880
v4_m1_5	-27.063	32.415	103.200	0.645	-0.630	0.432	0.629	0.759	0.168	-0.434	0.164	0.886
V5_M1_1	-42.399	34.443	101.250	0.516	-0.573	0.637	0.636	0.755	0.164	-0.574	0.320	0.754
V5_M1_2	-38.078	27.752	102.809	0.671	-0.440	0.597	0.533	0.846	0.024	-0.515	0.303	0.802
V5_M1_3	-38.913	33.704	102.488	0.678	-0.422	0.601	0.527	0.850	0.003	-0.512	0.315	0.799
V5_M1_4	-47.150	32.247	94.577	0.723	-0.377	0.579	0.504	0.861	-0.070	-0.472	0.342	0.812
V5_M1_5	-46.207	32.636	94.876	0.727	-0.388	0.566	0.514	0.855	-0.074	-0.456	0.344	0.821
V6_m1_1	-38.268	27.932	95.558	0.664	-0.370	0.650	0.507	0.862	-0.026	-0.550	0.347	0.760
V6_m1_2	-32.896	29.585	97.771	0.641	-0.398	0.656	0.533	0.846	-0.008	-0.552	0.355	0.754
